SKU,Description,Location,Warehouse Fixed,Pick Mode,Nr of Picks
AIB7001_240_07842,A350-FAP BACKLIGHT INV ASSY,A1504,A0000N,Unknown,0
AIB7001_240_09971,MP-FAP V52 HKP COVER DD ASSY,E0403,A0000N,Unknown,10
AIB7001_242_00644,DISTANCER UNC4-40X32MM,H1202,A0000N,Unknown,0
AIB7001_242_01092,A350 AIP LCD FRAME,E2107,A0000N,Unknown,0
AIB7001_242_01093,A350 AIP LCD FRAME,I0503,A0000N,Unknown,9
AIB7001_242_01102,A350 AAP A REARCASE,E0303,A0000N,Unknown,9
AIB7001_242_01122,A350 AIP REARCASE,EZKE,A0000N,Unknown,10
AIB7001_242_01281,A350-FAP FRONT PLATE DD,,,Unknown,0
AIB7001_242_01661,A350-FAP FRONT PLATE LR SA DD,E0103,A0000N,Unknown,13
AIB7001_243_00671,FOIL SCREEN JAC 87015,E0701,A0000N,Unknown,0
AIB7001_246_05046,MP-FAP MB COATED UNIT,F1204,A0000N,Unknown,0
AIB7001_246_05047,MP-FAP MB COATED UNIT,F1104,A0000N,Unknown,0
AIB7001_246_05281,MP-FAP LR SA MB COATED UNIT,A1504,A0000N,Unknown,0
AIB7001_246_06542,MP-FAP V4 MB PC1 COATED UNIT,H1302,A0000N,Unknown,0
AIB7001_246_06544,MP-FAP V4 MB PC1 COATED UNIT,A1504,A0000N,Unknown,0
AIB7001_246_06837,MP-FAP V52 MB PC1 COATED UNIT,F1204,A0000N,Unknown,0
AIB7001_247_00071,FAP SHEET CARDBOARD,J0704,B0000N,Unknown,0
AIB7001_247_00101,FOIL ANTISTATIC PINK FOR CLEAN,LZKL,A0000N,Unknown,0
APA0532_243_00013,RING,E0905,A0000N,Unknown,0
APA0532_243_00032,COVER,E0905,A0000N,Unknown,0
APA0532_246_00103,STALORAL SMD MAINBOARD,K0902,A0000N,Unknown,0
APA0532_247_00012,QUICKSTART MANUAL,K1203,A0000N,Unknown,0
APA0532_247_00033-C,IPUMP PACKAGING BOX,EZKE,A0000N,Unknown,0
ASM0051_108_00071-LF,FRAME MDPC 1,EZKE,A0000N,Unknown,43
ASM0051_109_00003-LF,ESD CONTAINER 800 X 600 X 120,HZKH,A0000N,Unknown,0
ASM0051_109_00004-LF,ESD LID FOR CONTAINER 800 X 60,HZKH,A0000N,Unknown,0
ASM0051_109_00005-LF,PE DISSIPATIVE FOAM 760X560X25,HZKH,A0000N,Unknown,0
ASM0051_109_00006-LF,ESD BAG SCC1000 24X30 INCH,E2003,A0000N,Unknown,53
ASM0051_110_00081-LF,"DUPLEXPATCHCORD 9/125, FCAPC/F",K0003,"A0000N, B0000N",Unknown,0
ASM0051_240_01641-LF,FINAL ASSY BFSR FLIGHT CASE,EZKE,A0000N,Unknown,0
ASM0051_240_02311-P,NXT3 MDRC SMCR WIRE SET,HZKH,A0000N,Unknown,0
ASM0051_240_02471-P,WIRE HARNESS SHB-MD PLC,F1402,A0000N,Unknown,0
ASM0051_240_02511-LF,NXT3_MDRC WIRE HARNESS SHB PLC,HZKH,A0000N,Unknown,1
ASM0051_240_02682-P,WIRE SET_MDRC_NXE3400_BACKPLAT,HZKH,A0000N,Unknown,0
ASM0051_240_02711-LF,MDRC NXE3400 MECHANICAL ASSY,EZKE,A0000N,Unknown,0
ASM0051_240_03501-P,WIRESET SR HPRGA POWER I/O BOX,J1302,A0000N,Unknown,0
ASM0051_240_03631-LF,NXT3_MDRC 250A GEN. ASSY CABLE,I2002,A0000N,Unknown,0
ASM0051_240_03841-P,WIRE SET NXT1 MDRC CBT ASSY,D1504,A0000N,Unknown,0
ASM0051_240_06162-P,WIRE SET MDRC3800 CBM ASSY 022,G0902,A0000N,Unknown,0
ASM0051_240_06172-P,WIRE SET MDRC3800 CBT ASSY 022,HZKH,A0000N,Unknown,0
ASM0051_240_06182-P,WIRE SET MAIN MDRC3800 BPA ASS,F0301,A0000N,Unknown,0
ASM0051_240_06631-LF,PDU PANEL2 WIRE DUCTS,EZKE,A0000N,Unknown,43
ASM0051_240_06641-LF,PDU PANEL3 WIRE DUCTS,EZKE,A0000N,Unknown,42
ASM0051_240_06652-LF,PDU PANEL4 WIRE DUCTS,J0902,A0000N,Unknown,41
ASM0051_240_30691-LF,2D INTERFACE BOX ASSY,EZKE,A0000N,Unknown,16
ASM0051_240_86611-P,WIRE LIST_MDPC1 DIN ASSY 1 PAR,HZKH,A0000N,Unknown,40
ASM0051_240_86651-P,WIRE LIST_MDPC1 DIN ASSY 5,I0801,A0000N,Unknown,38
ASM0051_240_86661-P,WIRE LIST_MDPC1 DIN ASSY 6,H0201,A0000N,Unknown,40
ASM0051_240_86681-P,WIRE LIST_MDPC1 PE RAIL,HZKH,A0000N,Unknown,43
ASM0051_240_86691-P,WIRE LIST_MDPC1 REMAINING WIRE,J0401,A0000N,Unknown,43
ASM0051_438_35234-LF,PVC WIRE 95QMM 600V BK,K1502,A0000N,Unknown,0
ASM0051_438_45038-LF,XT5S 400A BREAKING PART 4P 100,F1104,A0000N,Unknown,37
ASM0051_694_37063-LF,REAR PROTECTION ASSY MID,D1701,A0000N,Unknown,7
ASM0051_694_46832-LF,BASE PLATE W800 D900 + WHEELS,EZKE,A0000N,Unknown,3
ASM0051_698_53764-LF,RH NXE CONTROL CABINET ASSY AN,EZKE,A0000N,Unknown,24
ASM0051_704_23641-LF,BASE PLATE W900 D1200 + WHEELS,EZKE,A0000N,Unknown,90
ASM0051_704_78471-LF,BASE PLATE 126TE 900MM + WHEEL,EZKE,A0000N,Unknown,5
ASM0051_716_02442-LF,WIRE DUCT 60X40 350MM,E0302,A0000N,Unknown,0
ASM0051_716_02471-LF,WIRE DUCT 60X60 657MM,G0102,A0000N,Unknown,38
ASM4022_430_06531-LF,CONNECTOR STICKER,K0803,A0000N,Unknown,0
ASM4022_430_23602-LF,TRACKBALL B5XUSB,I0502,A0000N,Unknown,4
ASM4022_438_05890-LF,DOUBLE-LAYER 2.7V 20% 25F RA,EZKE,A0000N,Unknown,3
ASM4022_438_07168-LF,3 PHASE MAINS FILTER 520V/200A,HZKH,A0000N,Unknown,0
ASM4022_438_07171-LF,3P+N  EMC FILTER 440VAC/180A,EZKE,A0000N,Unknown,43
ASM4022_438_07173-LF,3P+N 530VAC/250A N DISC SCREW,HZKH,A0000N,Unknown,3
ASM4022_438_07206-LF,3PH MAINS FILTER 520V/200A,I1101,A0000N,Unknown,43
ASM4022_438_32582-LF,PWR CONT REC 2.5-4QMM,K1503,A0000N,Unknown,0
ASM4022_438_34301-LF,GROUND RAIL MS M5,F0204,A0000N,Unknown,6
ASM4022_438_34320-LF,DIN RAIL TH TYPE 15X5.5 PERF,LZKL,A0000N,Unknown,0
ASM4022_438_34484-LF,BUSBAR CIRCUIT BREAKER ADAPTER,HZKH,A0000N,Unknown,80
ASM4022_438_35190-LF,PVC WIRE 10QMM 600V BK,K1502,A0000N,Unknown,0
ASM4022_438_35196-LF,PVC WIRE 10QMM 600V BU,K1502,A0000N,Unknown,0
ASM4022_438_35200-LF,PVC WIRE 16QMM 600V BK,K1602,A0000N,Unknown,5
ASM4022_438_35204-LF,PVC WIRE 16QMM 600V BU,K1602,A0000N,Unknown,5
ASM4022_438_35226-LF,PVC WIRE 25QMM 600V BU,K1802,A0000N,Unknown,0
ASM4022_438_35229-LF,PVC WIRE 25QMM 600V YE-GN,K1702,A0000N,Unknown,0
ASM4022_438_35235-LF,PVC WIRE 95QMM 600V BU,EZKE,A0000N,Unknown,0
ASM4022_438_36804-LF,PVC CBL SHI 4+PEX2.5QMM TC,K1303,A0000N,Unknown,0
ASM4022_438_37213-LF,PVC CBL SHI 2+PEX1.5QMM TC,K1703,A0000N,Unknown,0
ASM4022_438_37947-LF,PVC CBL TWI/SHI 5X2X.34QMM CMR,K1303,A0000N,Unknown,1
ASM4022_438_37951-LF,PVC CBL TWI/SHI 2X2X0.25QMMCMR,K1803,A0000N,Unknown,0
ASM4022_438_38542-LF,PVC WIRE 50QMM 600V GNYE,K1802,A0000N,Unknown,0
ASM4022_438_38543-LF,PVC WIRE 50QMM 600V BK,K1702,A0000N,Unknown,6
ASM4022_438_38544-LF,PVC WIRE 16QMM 600V DARK-BU,K1703,A0000N,Unknown,0
ASM4022_438_38935-LF,PA CBL TIE DIAM. TO 330MM RD,D1903,A0000N,Unknown,0
ASM4022_438_39103-LF,SHRINK SLEEVE 2.4/1.2MM BLACK,K1402,A0000N,Unknown,0
ASM4022_438_39107-LF,SHRINK SLEEVE 9.5/4.8MM BK,K1403,A0000N,Unknown,0
ASM4022_438_39108-LF,SHRINK SLEEVE 12.7/6.4MM BK,K1203,A0000N,Unknown,0
ASM4022_438_39109-LF,SHRINK SLEEVE 19.1/9.5MM BK,K1603,A0000N,Unknown,0
ASM4022_438_39110-LF,SHRINK SLEEVE 25.4/12.7MM BK,K1803,A0000N,Unknown,0
ASM4022_438_39111-LF,SHRINK SLEEVE 38.0/19.0MM BK,K1803,A0000N,Unknown,0
ASM4022_438_39113-LF,SHRINK SLEEVE 76.0/38.1MM BK,K1503,A0000N,Unknown,0
ASM4022_438_39135-LF,SHRINK SLEEVE 1.2/0.6MM WHITE,K1703,A0000N,Unknown,0
ASM4022_438_39136-LF,SHRINK SLEEVE 9.5/4.8MM WH,K1403,A0000N,Unknown,0
ASM4022_438_39142-LF,SHRINK SLEEVE 9/3MM BLACK GLUE,F0304,A0000N,Unknown,0
ASM4022_438_39143-LF,SHRINK SLEEVE 12/4MM GLUE BK,F0304,A0000N,Unknown,0
ASM4022_438_39146-LF,SHRINK SLEEVE 39/13MM BLK GLUE,D2003,A0000N,Unknown,0
ASM4022_438_39173-LF,SHRINK SLEEVE 2.4/1.2MM WHITE,K1303,A0000N,Unknown,0
ASM4022_438_39174-LF,SHRINK SLEEVE 3.2/1.6MM WHITE,K1302,A0000N,Unknown,0
ASM4022_438_39178-LF,SHRINK SLEEVE 12.7/6.4MM WHITE,K1202,A0000N,Unknown,4
ASM4022_438_39179-LF,SHRINK SLEEVE 19.0/9.5MM WHITE,K1302,A0000N,Unknown,0
ASM4022_438_39190-LF,SHRINK SLEEVE 3/1.5MM YE-GN,K1603,A0000N,Unknown,0
ASM4022_438_39292-LF,SLIT HARNESS WRAP 20.0-23.0MM,K1402,A0000N,Unknown,1
ASM4022_438_39544-LF,PVC EDGE PROFILE BLK 1.0-4.0MM,K1802,A0000N,Unknown,7
ASM4022_438_40212-LF,TAPPED STRIP 126TE M2.5,G0702,A0000N,Unknown,63
ASM4022_438_40605-LF,RAIL FLANGED 23X64 L1000MM,LZKL,A0000N,Unknown,43
ASM4022_438_40606-LF,RAIL FLANGED 23X64 L1600MM,LZKL,A0000N,Unknown,40
ASM4022_438_40611-LF,BAYING COVER L 1200MM,F2002,A0000N,Unknown,90
ASM4022_438_40612-LF,MOUNTING RAILS 18X64 L 800MM,F0404,A0000N,Unknown,3
ASM4022_438_40618-LF,C RAIL 23X64MM L 800MM,F0404,A0000N,Unknown,6
ASM4022_438_40621-LF,C RAIL 23X23MM L 695MM,F0504,A0000N,Unknown,3
ASM4022_438_40622-LF,MOUNTING RAIL 18X39 L 800MM,F0504,A0000N,Unknown,4
ASM4022_438_40635-LF,RAIL FLANGED 23X64 L800MM,F0604,A0000N,Unknown,209
ASM4022_438_40815-LF,PARTIAL MNT PLATE 700X300MM,G0102,A0000N,Unknown,3
ASM4022_438_40855-LF,VX 19 MOUNTING ANGLES 482.6MM,EZKE,A0000N,Unknown,3
ASM4022_438_41556-LF,3PST+2NO+2NC REL 110-250V 250A,EZKE,A0000N,Unknown,46
ASM4022_438_42218-LF,TRANSFORMER 4000VA 400V/230V,HZKH,A0000N,Unknown,46
ASM4022_438_42219-LF,TRAFO 1380VA 230V/100_120_230V,HZKH,A0000N,Unknown,3
ASM4022_438_42220-LF,TRAFO 1380VA 400V/100_120_230V,HZKH,A0000N,Unknown,86
ASM4022_438_44786-LF,3 POL 60A MAIN SWITCH,EZKE,A0000N,Unknown,50
ASM4022_438_44792-LF,4POL 175A MAIN SWITCH NZMN2,G0201,A0000N,Unknown,43
ASM4022_438_44793-LF,4POL 250A MAIN SWITCH NZMN2,G0301,A0000N,Unknown,0
ASM4022_438_44910-LF,DOOR MOUNTED ROT. HANDLE NZM2,G0401,A0000N,Unknown,43
ASM4022_438_54038-LF,SIDE WALL FIXED SUPP 6HE 565MM,G0303,A0000N,Unknown,1
ASM4022_438_54067-LF,SIDE WALL FIXED SUPP 6HE 415MM,H0102,A0000N,Unknown,29
ASM4022_438_54296-LF,FRONT HOR RAIL 126TE H-LL,G0702,A0000N,Unknown,40
ASM4022_438_54396-LF,FRONT HOR RAIL 126TE H-SL,D0903,A0000N,Unknown,25
ASM4022_438_55205-LF,CABLE TRAY PROFILE 1800MM,A1101,A0000N,Unknown,103
ASM4022_438_55207-LF,CABLE TRAY PROFILE 1600MM,EZKE,A0000N,Unknown,43
ASM4022_438_55242-LF,CAB. 38HE W600 D1200 PC,EZKE,A0000N,Unknown,44
ASM4022_438_55243-LF,CAB 38HE W800 D900 PC,EZKE,A0000N,Unknown,5
ASM4022_438_55248-LF,CAB. 38HE W800 D900 PC,EZKE,A0000N,Unknown,7
ASM4022_438_55252-LF,CAB. 38HE W600 D1200 PC,EZKE,A0000N,Unknown,46
ASM4022_438_55896-LF,REAR RAIL 126TE H-RC CHRM,G0802,A0000N,Unknown,60
ASM4022_438_56039-LF,EMC COVER 295MM/126TE,D0903,A0000N,Unknown,22
ASM4022_438_56069-LF,EMC COVER 415MM/126TE,F1204,A0000N,Unknown,13
ASM4022_438_56071-LF,EMC COVER 475MM/84TE,F2002,A0000N,Unknown,54
ASM4022_438_56265-LF,FLOWBLOCKER 6HE 4TE 280MM CHRM,E0207,A0000N,Unknown,9
ASM4022_438_57196-LF,REAR RAIL 126TE H-ST CHRM,E0205,A0000N,Unknown,4
ASM4022_438_57996-LF,PERF STRIP STAINLESS ST 126TE,G0402,A0000N,Unknown,62
ASM4022_438_77360-LF,HD4.2 REC CRP CNT 0.24-1.0QMM,K1402,A0000N,Unknown,0
ASM4022_439_61281-LF,HOSE PUR BLK 8X6,K1402,A0000N,Unknown,0
ASM4022_439_75331-LF,HOSE BLK PUR 10X7,K1402,A0000N,Unknown,0
ASM4022_451_81963-LF,L/MCWU/MDC CLEAN ASSY,K0101,A0000N,Unknown,0
ASM4022_451_93541-LF,CUSHION ASSY SOFT,HZKH,A0000N,Unknown,0
ASM4022_470_71782-LF,ATWT ILIAS LS COB BOX,F1801,A0000N,Unknown,10
ASM4022_471_67362-LF,ESD CLEANROOM PCA PACKAGING,LZKL,A0000N,Unknown,113
ASM4022_471_76491-LF,COND. TRANS. BOX 400X380X110,EZKE,A0000N,Unknown,0
ASM4022_471_85131-LF,EXTENDER 3HE 15PE 180MM PCA,HZKH,A0000N,Unknown,27
ASM4022_471_96571-LF,PC LSPR6 BP PCA,HZKH,A0000N,Unknown,27
ASM4022_472_36992-LF,MDC III 19 MON/KEYB BRACK-L,F1005,A0000N,Unknown,0
ASM4022_472_39811-LF,SUBRACK EMC COVER 315 MM 126TE,G0902,A0000N,Unknown,27
ASM4022_472_62865-LF,AIR DIST UNIT 126TE-1HE,HZKH,A0000N,Unknown,24
ASM4022_472_73561-LF,BLIND PLATE 2HE/126TE,G1202,A0000N,Unknown,24
ASM4022_472_73671-LF,POWER MOD SPEC PACK FILL PACK1,LZKL,A0000N,Unknown,0
ASM4022_472_73681-LF,POWER MOD SPEC PACK FILL PACK2,LZKL,A0000N,Unknown,0
ASM4022_472_73701-LF,POWER MOD SPEC PACK BOX TYPE 1,LZKL,A0000N,Unknown,0
ASM4022_472_74802-LF,CABLE BRACKET 126TE SPECIAL,G1302,A0000N,Unknown,31
ASM4022_472_98041-LF,FILL PACK 12/20TE BOTTOM,LZKL,A0000N,Unknown,0
ASM4022_472_98051-LF,FILL PACK 12TE TOP,LZKL,A0000N,Unknown,0
ASM4022_472_99402-LF,IDPB BOX,D0502,A0000N,Unknown,17
ASM4022_473_00805-LF,"EDGE PROTECTION STRIP, 80X3X3",G1903,A0000N,Unknown,0
ASM4022_474_06761-LF,CLEANROOM AIR-CUSHION FOIL,H1903,B0000N,Unknown,0
ASM4022_474_11531-LF,STANDARD CARDBOARD BOX SIZE J1,EZKE,A0000N,Unknown,0
ASM4022_474_11891-LF,PT BAND BIRTEX 16MM,J1102,A0000N,Unknown,0
ASM4022_474_20561-LF,GREY PU CUSHION 150X150X150,HZKH,A0000N,Unknown,0
ASM4022_474_20572-LF,STANDARD CLEAN PP FIX SIZE B,LZKL,A0000N,Unknown,0
ASM4022_474_20582-LF,STANDARD CLEAN PP FIX SIZE C,LZKL,A0000N,Unknown,0
ASM4022_474_20592-LF,STANDARD CLEAN PP FIX SIZE D,LZKL,A0000N,Unknown,0
ASM4022_474_20622-LF,STANDARD CLEAN PP BOX SIZE B,LZKL,A0000N,Unknown,0
ASM4022_474_20632-LF,STANDARD CLEAN PP BOX SIZE C,LZKL,A0000N,Unknown,0
ASM4022_474_20642-LF,STANDARD CLEAN PP BOX SIZE D,LZKL,A0000N,Unknown,0
ASM4022_474_20731-LF,STANDARD CARDBOARD BOX SIZE B1,LZKL,A0000N,Unknown,0
ASM4022_474_20741-LF,STANDARD CARDBOARD BOX SIZE B2,LZKL,A0000N,Unknown,0
ASM4022_474_20751-LF,STD CARDB BOX (C1),LZKL,A0000N,Unknown,0
ASM4022_474_20761-LF,STANDARD CARDBOARD BOX SIZE C2,LZKL,A0000N,Unknown,0
ASM4022_474_20771-LF,STANDARD CARDBOARD BOX SIZE D1,LZKL,A0000N,Unknown,0
ASM4022_474_20781-LF,STANDARD CARDBOARD BOX SIZE D2,LZKL,A0000N,Unknown,0
ASM4022_474_20801-LF,BLACK EPP CUSHION 145X145X145,HZKH,A0000N,Unknown,0
ASM4022_474_27351-LF,STANDARD CARDBOARD FIXATION E1,LZKL,A0000N,Unknown,0
ASM4022_474_27361-LF,STANDARD CARDBOARD BOX SIZE F1,LZKL,A0000N,Unknown,0
ASM4022_474_27371-LF,STANDARD CARDB. BOX SIZE F2/G1,HZKH,A0000N,Unknown,0
ASM4022_474_27381-LF,STANDARD CARDB. BOX SIZE G2/H1,EZKE,A0000N,Unknown,0
ASM4022_474_27411-LF,SYNTHETIC MATERIAL PALLET I,EZKE,A0000N,Unknown,0
ASM4022_474_27421-LF,PE PLATE 785 X 585 X 3,EZKE,A0000N,Unknown,0
ASM4022_474_34172-LF,YMCR TRANSPORT ASSY,HZKH,A0000N,Unknown,3
ASM4022_474_41912-LF,BOTTOM SHEET (PE) 1650X1550,H1002,A0000N,Unknown,0
ASM4022_474_41922-LF,BLOCKBAG (PE) 1150X950X1800,K0201,A0000N,Unknown,0
ASM4022_474_48031-LF,FLATBAG (PE) 750 X 1050,K0001,A0000N,Unknown,0
ASM4022_474_56531-LF,NXT MDRC CBB / CBM / CBT ASSYS,EZKE,A0000N,Unknown,0
ASM4022_474_67441-LF,PCA PACKAGING 500X500,LZKL,A0000N,Unknown,16
ASM4022_474_77862-LF,IL MMA MMEB ASSY PACKAGING,HZKH,A0000N,Unknown,6
ASM4022_474_79801-LF,STD LDPE BAG (A) 260X360,K0303,A0000N,Unknown,0
ASM4022_474_79811-LF,LDPE BAG 390X490 (B),K0502,A0000N,Unknown,0
ASM4022_474_79831-LF,LDPE BAG 470X610 (C),K0502,A0000N,Unknown,0
ASM4022_474_79841-LF,LDPE BAG 650X840 (D),K1003,A0000N,Unknown,0
ASM4022_474_79851-LF,LDPE BAG 710X960 (F),F0004,A0000N,Unknown,0
ASM4022_474_79961-LF,SHIELDING BAG 650X840 (D),H1202,A0000N,Unknown,0
ASM4022_474_83001-LF,LDPE BAG 650X840 (D) TAPED,J0802,A0000N,Unknown,0
ASM4022_474_83011-LF,LDPE BAG 450X450 (E) TAPED,K1003,A0000N,Unknown,0
ASM4022_476_01361-LF,PSU 24V/10A PARALLEL SEMI-F47,I0802,A0000N,Unknown,0
ASM4022_476_01691-LF,PSU DIN RAIL 48V 10A,J1402,A0000N,Unknown,7
ASM4022_478_00087-LF,HMI TOUCH PANEL 7 TFT,J1002,A0000N,Unknown,69
ASM4022_478_00307-LF,PSU 230VAC 48V/24VDC 1600W 1U,LZKL,A0000N,Unknown,43
ASM4022_478_00335-LF,PSU 24VDC 1200W,LZKL,A0000N,Unknown,46
ASM4022_478_00427-LF,PSU 24.1VDC 10A 3HE 12TE,LZKL,A0000N,Unknown,30
ASM4022_478_00428-LF,PSU 24.1VDC 10A 3HE 8TE,LZKL,A0000N,Unknown,62
ASM4022_478_00430-LF,PSU 26.1VDC 9.2A 3HE 12TE,HZKH,A0000N,Unknown,0
ASM4022_478_00431-LF,PSU 24.1V/5A 3HE 8TE,HZKH,A0000N,Unknown,8
ASM4022_478_00456-LF,ETHERNET SW 16XRJ45 10/100MB,HZKH,A0000N,Unknown,85
ASM4022_478_00557-LF,UPS RACKMOUT VERSION 3000VA,HZKH,A0000N,Unknown,53
ASM4022_478_00741-LF,PSU 53V/15A 12TE 6HE,LZKL,A0000N,Unknown,83
ASM4022_478_00871-LF,19 4 SLOT 2 OUT 1600W 1U RACK,EZKE,A0000N,Unknown,1
ASM4022_478_00889-LF,UPS 3U RACK MNT 6KVA NETWORK,LZKL,A0000N,Unknown,20
ASM4022_478_01078-LF,UPS 3PH 9SX 20KVA NET RM 3U,EZKE,A0000N,Unknown,23
ASM4022_478_01357-LF,SITOP CNX8600 24V 8X2.5A EXP.,HZKH,A0000N,Unknown,3
ASM4022_478_05002-LF,19 INCH LCD DISPLAY,G0603,A0000N,Unknown,0
ASM4022_478_05039-LF,KEYBOARD,HZKH,A0000N,Unknown,4
ASM4022_478_05072-LF,PORTSERVER 16P RS-232/422/485,HZKH,A0000N,Unknown,4
ASM4022_478_05075-LF,19IN TOUCH SCREEN MONITOR,HZKH,A0000N,Unknown,4
ASM4022_478_05119-LF,3.5IN MI/O COMPACT SBC N2600,G0602,A0000N,Unknown,48
ASM4022_478_05153-LF,MAN SW EX3400 48P POE+,HZKH,A0000N,Unknown,31
ASM4022_478_05155-LF,FIREWALL SRX1500 - JUNIPER,HZKH,A0000N,Unknown,25
ASM4022_478_05156-LF,MAN SW EX4650 48P SFP28 NO POE,LZKL,A0000N,Unknown,38
ASM4022_478_05163-LF,NAS 380F RAID-6  5.74TB UNIT,HZKH,A0000N,Unknown,0
ASM4022_478_05166-LF,NAS 380F CONTROLLER,LZKL,A0000N,Unknown,3
ASM4022_478_05309-LF,RACK AP4423A IN230V/16AOUT 8X,LZKL,A0000N,Unknown,43
ASM4022_631_85571-LF,ECAB 126TE CABLE SHIELD TOP,E0405,A0000N,Unknown,0
ASM4022_634_06481-LF,EXT ESD CLEANROOM PCA PACKAGE2,LZKL,A0000N,Unknown,0
ASM4022_634_44541-LF,PSDC 630/44R 6HE 32TE,HZKH,A0000N,Unknown,0
ASM4022_634_69031-LF,NXT WS MK4I CB CONNECT C1 PCA,E0902,A0000N,Unknown,12
ASM4022_634_69051-LF,NXT WS MK4I CB CONNECT C2 PCA,E0802,A0000N,Unknown,11
ASM4022_634_79361-LF,PAAC 550/25/5 ASSY,HZKH,A0000N,Unknown,27
ASM4022_634_86471-LF,NXT WS MK5I CB CONNECT C2 PCA,HZKH,A0000N,Unknown,26
ASM4022_634_88391-M40,ARTIC GENERIC HOST BRD PCA,F1501,A0000N,Unknown,0
ASM4022_634_89402-LF,EXE WS MODULE RACK BP PCA,E0304,A0000N,Unknown,37
ASM4022_636_28492-LF,MSMR-MECA EMC TOP COVER,F0704,A0000N,Unknown,3
ASM4022_636_28501-LF,MSMR-MECA EMC BOTTOM COVER,F0704,A0000N,Unknown,3
ASM4022_636_31621-LF,SHB MDRC TOP COVER ASSY,I1501,A0000N,Unknown,1
ASM4022_636_33291-LF,MDRC SHB MNTNG PLATE LEFT,HZKH,A0000N,Unknown,0
ASM4022_636_65421-LF,2D INTERFACE BOTTOM,E1603,A0000N,Unknown,15
ASM4022_636_65791-LF,MDRC CBB MECH,EZKE,A0000N,Unknown,0
ASM4022_636_85861-LF,MSMR-MECA FRONT PLATE ASSY,F0804,A0000N,Unknown,3
ASM4022_636_87272-LF,RH CONTROL RACK SUB ASSY,HZKH,A0000N,Unknown,24
ASM4022_636_87822-LF,RH SMCB RAIL SUPPORT,F0602,A0000N,Unknown,33
ASM4022_636_88282-LF,WH NXE VRPR COVER PLATE,EZKE,A0000N,Unknown,27
ASM4022_636_98632-LF,ILSB4 BOX,H0302,A0000N,Unknown,14
ASM4022_640_25942-LF,WH NXE MPAC BRKBOX BOX1,E0602,A0000N,Unknown,7
ASM4022_640_27022-LF,RH SMCB FRONT PLATE,F0702,A0000N,Unknown,33
ASM4022_640_27031-LF,RH SMCB BACK PLATE,F0002,A0000N,Unknown,0
ASM4022_640_27042-LF,RH SMCB COVER PLATE TOP,F0801,A0000N,Unknown,33
ASM4022_640_27052-LF,RH SMCB COVER PLATE BOTTOM,F1601,A0000N,Unknown,33
ASM4022_640_30641-LF,HIPA COVER WELD ASSY,D0301,A0000N,Unknown,0
ASM4022_640_48841-LF,BLIND PANEL 1HE/126TE,F0904,A0000N,Unknown,25
