SKU,Description,Location Fixed,Location Inventory,Warehouse Fixed,Nr of Picks,Nr of Picks Total Window,Quantity,Std Unit Cost,Extended Std Cost,Demand 180 Days,Actual Locations,Number of Registered Locations,Has Bulk Location,Registered Actual Location Count,Registered Location Types,Has Ground Level,Has Hand Pick,Has Highest Level
ASM4022_640_94671-LF,MDRC BOTTOM PLATE COVER,E1105,E1105,A0000N,0,0,1.0,86.2785,86.28,0.0,E1105,1,False,1,Legbord,False,False,False
ASM4022_645_13052-LF,SHB-MDRC-PLC-MK3.1 TA,HZKH,HZKH,A0000N,0,0,1.0,1273.9965,1274.0,0.0,HZKH,1,True,1,,False,False,False
ASM4022_645_58391-P,SERVICE INT UNIT TA,G1004,G1004,A0000N,16,16,6.0,236.68,1420.08,42.0,G1004,1,False,1,Pallet,False,False,False
ASM4022_645_58661-LF,BLISTER PACKAGING 6HE 4-8TE,EZKE,EZKE,A0000N,27,27,22.0,30.765,676.83,81.0,EZKE,1,True,1,,False,False,False
ASM4022_645_66411-LF,MDRC NXT3 CLEAN ASSY,K0402,K0402,A0000N,0,0,11.0,99.351,1092.86,13.0,K0402,1,False,1,Legbord,False,True,False
ASM4022_645_73832-LF,DCDB TRANSPORT ASSY,HZKH,HZKH,A0000N,26,26,14.0,131.4285,1840.0,130.0,HZKH,1,True,1,,False,False,False
ASM4022_646_00941-LF,MDRC FRONT COVER PLATE MIDDLE,F1605,F1605,A0000N,0,0,1.0,301.3,301.3,1.0,F1605,1,False,1,Legbord,False,False,False
ASM4022_646_12831-LF,MDRC BOTTOM PLATE COVER,LZKL,LZKL,A0000N,0,0,3.0,103.31,309.93,0.0,LZKL,1,True,1,,False,False,False
ASM4022_646_17191-LF,DGLB BASE,E1001,E1001,A0000N,9,9,12.0,111.216,1334.59,45.0,E1001,1,False,1,Pallet,True,True,False
ASM4022_646_17201-LF,DGLB COVER,E0702,E0702,A0000N,8,8,9.0,32.5185,292.67,45.0,E0702,1,False,1,Legbord,False,True,False
ASM4022_646_17711-LF,SHB-BR BOX ASSY,F0402,F0402,A0000N,5,5,9.0,559.08,5031.72,9.0,F0402,1,False,1,Legbord,False,True,False
ASM4022_646_18091-LF,SHB-BR COVER ASSY,F0502,F0502,A0000N,5,5,9.0,590.81,5317.29,9.0,F0502,1,False,1,Legbord,False,True,False
ASM4022_646_18721-LF,MMEB FRONT INTERFACE MONO,G2001,G2001,A0000N,7,7,1.0,187.87,187.87,112.0,G2001,1,False,1,Pallet,True,True,False
ASM4022_646_21031-LF,SIU-COVER,F1102,F1102,A0000N,6,6,13.0,388.69,5052.97,7.0,F1102,1,False,1,Legbord,False,True,False
ASM4022_646_22271-LF,SIU-BOX-ASSY,F1202,F1202,A0000N,6,6,11.0,642.57,7068.27,7.0,F1202,1,False,1,Legbord,False,True,False
ASM4022_646_37241-LF,MON/KEYB DRAWER 19IN MK2 MONO,F1201,F1201,A0000N,0,0,4.0,765.29,3061.16,0.0,F1201,1,False,1,Pallet,True,True,False
ASM4022_646_75511-LF,HIPA MKII BOTTOM PLATE,D0302,D0302,A0000N,0,0,31.0,12.9465,401.34,0.0,D0302,1,False,1,Legbord,False,True,False
ASM4022_646_78723-P,NXT3_MDRC CBB ASSY,HZKH,HZKH,A0000N,0,0,1.0,2227.7555,2227.76,0.0,HZKH,1,True,1,,False,False,False
ASM4022_646_78922-LF,MDRC CONNECTOR PLATE MONO,EZKE,EZKE,A0000N,0,0,1.0,692.0,692.0,0.0,EZKE,1,True,1,,False,False,False
ASM4022_646_79032-LF,MDRC BACK PLATE MECH ASSY,EZKE,EZKE,A0000N,0,0,3.0,278.0,834.0,3.0,EZKE,1,True,1,,False,False,False
ASM4022_646_80353-LF,MDRC CBT MECH,I1602,I1602,A0000N,0,0,1.0,280.78,280.78,0.0,I1602,1,False,1,Legbord,False,True,False
ASM4022_646_81881-LF,WTC NXE CTRL BRACKET,F0701,F0701,A0000N,5,5,22.0,56.6895,1247.17,43.0,F0701,1,False,1,Pallet,True,True,False
ASM4022_646_83382-LF,DCDB CONNECTORPLATE,G1201,G1201,A0000N,26,26,74.0,49.96,3697.04,131.0,G1201,1,False,1,Pallet,True,True,False
ASM4022_646_98702-LF,MDRC CONN PLATE,EZKE,EZKE,A0000N,0,0,1.0,1062.0,1062.0,0.0,EZKE,1,True,1,,False,False,False
ASM4022_651_83902-LF,NXT WS MK4I R-PCA TOOL ASSY,E1803,E1803,A0000N,12,12,36.0,178.08,6410.88,55.0,E1803,1,False,1,Legbord,False,True,False
ASM4022_654_02681-LF,MDRC OPERATING INTERFACE PANEL,HZKH,HZKH,A0000N,15,15,7.0,401.78,2812.46,17.0,HZKH,1,True,1,,False,False,False
ASM4022_654_15081-LF,MDRC SHB FAN PLATE,LZKL,LZKL,A0000N,0,0,2.0,174.09,348.18,0.0,LZKL,1,True,1,,False,False,False
ASM4022_654_46671-LF,WTC NXE CTRL BOX,D0602,D0602,A0000N,5,5,11.0,79.1,870.1,38.0,D0602,1,False,1,Legbord,False,True,False
ASM4022_654_72652-LF,SR GV REMOTE CTRL BOX,F1402,F1402,A0000N,1,1,14.0,43.6,610.4,1.0,F1402,1,False,1,Legbord,False,True,False
ASM4022_654_72661-LF,SR GV REMOTE CTRL COVER,F1502,F1502,A0000N,1,1,1.0,268.92,268.92,1.0,F1502,1,False,1,Legbord,False,True,False
ASM4022_654_73002-LF,COMPUTER SYSTEMS SERVICE ASSY,LZKL,LZKL,A0000N,4,4,3.0,1377.98,4133.94,4.0,LZKL,1,True,1,,False,False,False
ASM4022_654_93431-LF,SHB-EIM-BOX-ASSY,F0503,F0503,A0000N,1,1,1.0,370.01,370.01,4.0,F0503,1,False,1,Legbord,False,False,False
ASM4022_654_95932-LF,TCMA TOP PLATE,HZKH,HZKH,A0000N,48,48,146.0,52.37,7646.02,373.0,HZKH,1,True,1,,False,False,False
ASM4022_654_95952-LF,TCMA BOTTOM PLATE,G0801,G0801,A0000N,49,49,134.0,47.69,6390.46,374.0,G0801,1,False,1,Pallet,True,True,False
ASM4022_658_23512-LF,POWER DISTR UNIT S3 CLEAN ASSY,K0301,K0301,A0000N,0,0,16.0,110.796,1772.74,43.0,K0301,1,False,1,Pallet,True,True,False
ASM4022_658_31251-LF,NXE SR CONPEARL BOX 800X600 TA,LZKL,LZKL,A0000N,6,6,7.0,323.8935,2267.25,21.0,LZKL,1,True,1,,False,False,False
ASM4022_658_31261-LF,NXE SR CONPEARL BOX 800X600 CA,J0702,J0702,A0000N,0,0,23.0,73.07,1680.6100000000001,24.0,J0702,1,False,1,Legbord,False,True,False
