SKU,Description,Actual Location,Location Type Name,Status,In Fixed Locations,In Inventory Locations
ASM4022_438_36804-LF,PVC CBL SHI 4+PEX2.5QMM TC,K1303,Pallet,filled,Yes,Yes
ASM4022_438_37213-LF,PVC CBL SHI 2+PEX1.5QMM TC,K1703,Pallet,empty,Yes,Yes
ASM4022_438_37947-LF,PVC CBL TWI/SHI 5X2X.34QMM CMR,K1303,Pallet,filled,Yes,Yes
ASM4022_438_37951-LF,PVC CBL TWI/SHI 2X2X0.25QMMCMR,K1803,Pallet,filled,Yes,Yes
ASM4022_438_38542-LF,PVC WIRE 50QMM 600V GNYE,K1802A,Legbord,filled,Yes,Yes
ASM4022_438_38543-LF,PVC WIRE 50QMM 600V BK,K1702A,Legbord,filled,Yes,Yes
ASM4022_438_38544-LF,PVC WIRE 16QMM 600V DARK-BU,K1703,Pallet,empty,Yes,Yes
ASM4022_438_38935-LF,PA CBL TIE DIAM. TO 330MM RD,D1903,Legbord,filled,Yes,Yes
ASM4022_438_39103-LF,SHRINK SLEEVE 2.4/1.2MM BLACK,K1402A,Legbord,filled,Yes,Yes
ASM4022_438_39107-LF,SHRINK SLEEVE 9.5/4.8MM BK,K1403,Pallet,empty,Yes,Yes
ASM4022_438_39108-LF,SHRINK SLEEVE 12.7/6.4MM BK,K1203,Pallet,filled,Yes,Yes
ASM4022_438_39109-LF,SHRINK SLEEVE 19.1/9.5MM BK,K1603,Pallet,filled,Yes,No
ASM4022_438_39110-LF,SHRINK SLEEVE 25.4/12.7MM BK,K1803,Pallet,filled,Yes,Yes
ASM4022_438_39111-LF,SHRINK SLEEVE 38.0/19.0MM BK,K1803,Pallet,filled,Yes,No
ASM4022_438_39113-LF,SHRINK SLEEVE 76.0/38.1MM BK,K1503,Pallet,filled,Yes,Yes
ASM4022_438_39135-LF,SHRINK SLEEVE 1.2/0.6MM WHITE,K1703,Pallet,empty,Yes,Yes
ASM4022_438_39136-LF,SHRINK SLEEVE 9.5/4.8MM WH,K1403,Pallet,empty,Yes,Yes
ASM4022_438_39142-LF,SHRINK SLEEVE 9/3MM BLACK GLUE,F0304,Legbord,filled,Yes,Yes
ASM4022_438_39143-LF,SHRINK SLEEVE 12/4MM GLUE BK,F0304,Legbord,filled,Yes,Yes
ASM4022_438_39146-LF,SHRINK SLEEVE 39/13MM BLK GLUE,D2003,Legbord,filled,Yes,Yes
ASM4022_438_39173-LF,SHRINK SLEEVE 2.4/1.2MM WHITE,K1303,Pallet,filled,Yes,Yes
ASM4022_438_39174-LF,SHRINK SLEEVE 3.2/1.6MM WHITE,K1302A,Legbord,filled,Yes,Yes
ASM4022_438_39178-LF,SHRINK SLEEVE 12.7/6.4MM WHITE,K1202A,Legbord,filled,Yes,Yes
ASM4022_438_39179-LF,SHRINK SLEEVE 19.0/9.5MM WHITE,K1302A,Legbord,filled,Yes,Yes
ASM4022_438_39190-LF,SHRINK SLEEVE 3/1.5MM YE-GN,K1603,Pallet,filled,Yes,Yes
ASM4022_438_39292-LF,SLIT HARNESS WRAP 20.0-23.0MM,K1402A,Legbord,filled,Yes,Yes
ASM4022_438_39544-LF,PVC EDGE PROFILE BLK 1.0-4.0MM,K1802A,Legbord,filled,Yes,Yes
ASM4022_438_40212-LF,TAPPED STRIP 126TE M2.5,G0702,Legbord,filled,Yes,Yes
ASM4022_438_40605-LF,RAIL FLANGED 23X64 L1000MM,LZKL,,,Yes,Yes
ASM4022_438_40606-LF,RAIL FLANGED 23X64 L1600MM,LZKL,,,Yes,Yes
ASM4022_438_40611-LF,BAYING COVER L 1200MM,F2002,Legbord,filled,Yes,Yes
ASM4022_438_40612-LF,MOUNTING RAILS 18X64 L 800MM,F0404,Legbord,filled,Yes,Yes
ASM4022_438_40618-LF,C RAIL 23X64MM L 800MM,F0404,Legbord,filled,Yes,Yes
ASM4022_438_40621-LF,C RAIL 23X23MM L 695MM,F0504,Legbord,filled,Yes,Yes
ASM4022_438_40622-LF,MOUNTING RAIL 18X39 L 800MM,F0504,Legbord,filled,Yes,Yes
ASM4022_438_40635-LF,RAIL FLANGED 23X64 L800MM,F0604,Legbord,filled,Yes,Yes
ASM4022_438_40815-LF,PARTIAL MNT PLATE 700X300MM,G0102,Legbord,filled,Yes,Yes
ASM4022_438_40855-LF,VX 19 MOUNTING ANGLES 482.6MM,EZKE,,,Yes,Yes
ASM4022_438_41556-LF,3PST+2NO+2NC REL 110-250V 250A,EZKE,,,Yes,Yes
ASM4022_438_42218-LF,TRANSFORMER 4000VA 400V/230V,HZKH,,,Yes,Yes
ASM4022_438_42219-LF,TRAFO 1380VA 230V/100_120_230V,HZKH,,,Yes,Yes
ASM4022_438_42220-LF,TRAFO 1380VA 400V/100_120_230V,HZKH,,,Yes,Yes
ASM4022_438_44786-LF,3 POL 60A MAIN SWITCH,EZKE,,,Yes,Yes
ASM4022_438_44792-LF,4POL 175A MAIN SWITCH NZMN2,G0201,Pallet,filled,Yes,Yes
ASM4022_438_44793-LF,4POL 250A MAIN SWITCH NZMN2,G0301,Pallet,filled,Yes,Yes
ASM4022_438_44910-LF,DOOR MOUNTED ROT. HANDLE NZM2,G0401,Pallet,filled,Yes,Yes
ASM4022_438_54038-LF,SIDE WALL FIXED SUPP 6HE 565MM,G0303,Legbord,filled,Yes,Yes
ASM4022_438_54067-LF,SIDE WALL FIXED SUPP 6HE 415MM,H0102,Legbord,filled,Yes,Yes
ASM4022_438_54296-LF,FRONT HOR RAIL 126TE H-LL,G0702,Legbord,filled,Yes,Yes
ASM4022_438_54396-LF,FRONT HOR RAIL 126TE H-SL,D0903,Legbord,filled,Yes,Yes
ASM4022_438_55205-LF,CABLE TRAY PROFILE 1800MM,A1101,A-stelling,filled,Yes,Yes
ASM4022_438_55207-LF,CABLE TRAY PROFILE 1600MM,EZKE,,,Yes,Yes
ASM4022_438_55242-LF,CAB. 38HE W600 D1200 PC,EZKE,,,Yes,Yes
ASM4022_438_55243-LF,CAB 38HE W800 D900 PC,EZKE,,,Yes,Yes
ASM4022_438_55248-LF,CAB. 38HE W800 D900 PC,EZKE,,,Yes,Yes
ASM4022_438_55252-LF,CAB. 38HE W600 D1200 PC,EZKE,,,Yes,Yes
ASM4022_438_55896-LF,REAR RAIL 126TE H-RC CHRM,G0802,Legbord,filled,Yes,Yes
ASM4022_438_56039-LF,EMC COVER 295MM/126TE,D0903,Legbord,filled,Yes,Yes
ASM4022_438_56069-LF,EMC COVER 415MM/126TE,F1204,Legbord,filled,Yes,Yes
ASM4022_438_56071-LF,EMC COVER 475MM/84TE,F2002,Legbord,filled,Yes,Yes
ASM4022_438_56265-LF,FLOWBLOCKER 6HE 4TE 280MM CHRM,E0207,Pallet,filled,Yes,Yes
ASM4022_438_57196-LF,REAR RAIL 126TE H-ST CHRM,E0205,Legbord,filled,Yes,Yes
ASM4022_438_57996-LF,PERF STRIP STAINLESS ST 126TE,G0402,Legbord,filled,Yes,Yes
ASM4022_438_77360-LF,HD4.2 REC CRP CNT 0.24-1.0QMM,K1402A,Legbord,filled,Yes,Yes
ASM4022_439_61281-LF,HOSE PUR BLK 8X6,K1402A,Legbord,filled,Yes,Yes
ASM4022_439_75331-LF,HOSE BLK PUR 10X7,K1402A,Legbord,filled,Yes,Yes
ASM4022_451_81963-LF,L/MCWU/MDC CLEAN ASSY,K0101,Pallet,filled,Yes,Yes
ASM4022_451_93541-LF,CUSHION ASSY SOFT,HZKH,,,Yes,Yes
ASM4022_470_71782-LF,ATWT ILIAS LS COB BOX,F1801,Pallet,filled,Yes,Yes
ASM4022_471_67362-LF,ESD CLEANROOM PCA PACKAGING,LZKL,,,Yes,Yes
ASM4022_471_76491-LF,COND. TRANS. BOX 400X380X110,EZKE,,,Yes,No
ASM4022_471_85131-LF,EXTENDER 3HE 15PE 180MM PCA,HZKH,,,Yes,Yes
ASM4022_471_96571-LF,PC LSPR6 BP PCA,HZKH,,,Yes,Yes
ASM4022_472_36992-LF,MDC III 19 MON/KEYB BRACK-L,F1005,Legbord,empty,Yes,Yes
ASM4022_472_39811-LF,SUBRACK EMC COVER 315 MM 126TE,G0902,Legbord,filled,Yes,Yes
ASM4022_472_62865-LF,AIR DIST UNIT 126TE-1HE,HZKH,,,Yes,Yes
ASM4022_472_73561-LF,BLIND PLATE 2HE/126TE,G1202,Legbord,filled,Yes,Yes
ASM4022_472_73671-LF,POWER MOD SPEC PACK FILL PACK1,LZKL,,,Yes,Yes
ASM4022_472_73681-LF,POWER MOD SPEC PACK FILL PACK2,LZKL,,,Yes,Yes
ASM4022_472_73701-LF,POWER MOD SPEC PACK BOX TYPE 1,LZKL,,,Yes,No
ASM4022_472_74802-LF,CABLE BRACKET 126TE SPECIAL,G1302,Legbord,filled,Yes,Yes
ASM4022_472_98041-LF,FILL PACK 12/20TE BOTTOM,LZKL,,,Yes,No
ASM4022_472_98051-LF,FILL PACK 12TE TOP,LZKL,,,Yes,No
ASM4022_472_99402-LF,IDPB BOX,D0502,Legbord,filled,Yes,Yes
ASM4022_473_00805-LF,"EDGE PROTECTION STRIP, 80X3X3",G1903,Legbord,filled,Yes,Yes
ASM4022_474_06761-LF,CLEANROOM AIR-CUSHION FOIL,H1903,Pallet,filled,Yes,Yes
ASM4022_474_11531-LF,STANDARD CARDBOARD BOX SIZE J1,EZKE,,,Yes,Yes
ASM4022_474_11891-LF,PT BAND BIRTEX 16MM,J1102,Legbord,filled,Yes,Yes
ASM4022_474_20561-LF,GREY PU CUSHION 150X150X150,HZKH,,,Yes,Yes
ASM4022_474_20572-LF,STANDARD CLEAN PP FIX SIZE B,LZKL,,,Yes,Yes
ASM4022_474_20582-LF,STANDARD CLEAN PP FIX SIZE C,LZKL,,,Yes,Yes
ASM4022_474_20592-LF,STANDARD CLEAN PP FIX SIZE D,LZKL,,,Yes,Yes
ASM4022_474_20622-LF,STANDARD CLEAN PP BOX SIZE B,LZKL,,,Yes,Yes
ASM4022_474_20632-LF,STANDARD CLEAN PP BOX SIZE C,LZKL,,,Yes,Yes
ASM4022_474_20642-LF,STANDARD CLEAN PP BOX SIZE D,LZKL,,,Yes,Yes
ASM4022_474_20731-LF,STANDARD CARDBOARD BOX SIZE B1,LZKL,,,Yes,No
ASM4022_474_20741-LF,STANDARD CARDBOARD BOX SIZE B2,LZKL,,,Yes,Yes
ASM4022_474_20751-LF,STD CARDB BOX (C1),LZKL,,,Yes,Yes
ASM4022_474_20761-LF,STANDARD CARDBOARD BOX SIZE C2,LZKL,,,Yes,Yes
ASM4022_474_20771-LF,STANDARD CARDBOARD BOX SIZE D1,LZKL,,,Yes,Yes
ASM4022_474_20781-LF,STANDARD CARDBOARD BOX SIZE D2,LZKL,,,Yes,Yes
ASM4022_474_20801-LF,BLACK EPP CUSHION 145X145X145,HZKH,,,Yes,Yes
ASM4022_474_27351-LF,STANDARD CARDBOARD FIXATION E1,LZKL,,,Yes,Yes
ASM4022_474_27361-LF,STANDARD CARDBOARD BOX SIZE F1,LZKL,,,Yes,Yes
ASM4022_474_27371-LF,STANDARD CARDB. BOX SIZE F2/G1,HZKH,,,Yes,Yes
ASM4022_474_27381-LF,STANDARD CARDB. BOX SIZE G2/H1,EZKE,,,Yes,Yes
ASM4022_474_27411-LF,SYNTHETIC MATERIAL PALLET I,EZKE,,,Yes,Yes
ASM4022_474_27421-LF,PE PLATE 785 X 585 X 3,EZKE,,,Yes,Yes
ASM4022_474_34172-LF,YMCR TRANSPORT ASSY,HZKH,,,Yes,Yes
ASM4022_474_41912-LF,BOTTOM SHEET (PE) 1650X1550,H1002,Legbord,filled,Yes,Yes
ASM4022_474_41922-LF,BLOCKBAG (PE) 1150X950X1800,K0201,Pallet,empty,Yes,No
ASM4022_474_48031-LF,FLATBAG (PE) 750 X 1050,K0001,Pallet,filled,Yes,Yes
ASM4022_474_56531-LF,NXT MDRC CBB / CBM / CBT ASSYS,EZKE,,,Yes,No
ASM4022_474_67441-LF,PCA PACKAGING 500X500,LZKL,,,Yes,Yes
ASM4022_474_77862-LF,IL MMA MMEB ASSY PACKAGING,HZKH,,,Yes,Yes
ASM4022_474_79801-LF,STD LDPE BAG (A) 260X360,K0303,Pallet,filled,Yes,Yes
ASM4022_474_79811-LF,LDPE BAG 390X490 (B),K0502,Legbord,filled,Yes,Yes
ASM4022_474_79831-LF,LDPE BAG 470X610 (C),K0502,Legbord,filled,Yes,Yes
ASM4022_474_79841-LF,LDPE BAG 650X840 (D),K1003,Pallet,empty,Yes,Yes
ASM4022_474_79851-LF,LDPE BAG 710X960 (F),F0004,Legbord,filled,Yes,Yes
ASM4022_474_79961-LF,SHIELDING BAG 650X840 (D),H1202,Legbord,filled,Yes,Yes
ASM4022_474_83001-LF,LDPE BAG 650X840 (D) TAPED,J0802,Legbord,filled,Yes,Yes
ASM4022_474_83011-LF,LDPE BAG 450X450 (E) TAPED,K1003,Pallet,empty,Yes,Yes
ASM4022_476_01361-LF,PSU 24V/10A PARALLEL SEMI-F47,I0802,Legbord,filled,Yes,Yes
ASM4022_476_01691-LF,PSU DIN RAIL 48V 10A,J1402,Legbord,filled,Yes,Yes
ASM4022_478_00087-LF,HMI TOUCH PANEL 7 TFT,J1002,Legbord,filled,Yes,Yes
ASM4022_478_00307-LF,PSU 230VAC 48V/24VDC 1600W 1U,LZKL,,,Yes,Yes
ASM4022_478_00335-LF,PSU 24VDC 1200W,LZKL,,,Yes,Yes
ASM4022_478_00427-LF,PSU 24.1VDC 10A 3HE 12TE,LZKL,,,Yes,Yes
ASM4022_478_00428-LF,PSU 24.1VDC 10A 3HE 8TE,LZKL,,,Yes,Yes
ASM4022_478_00430-LF,PSU 26.1VDC 9.2A 3HE 12TE,HZKH,,,Yes,Yes
ASM4022_478_00431-LF,PSU 24.1V/5A 3HE 8TE,HZKH,,,Yes,Yes
ASM4022_478_00456-LF,ETHERNET SW 16XRJ45 10/100MB,HZKH,,,Yes,Yes
ASM4022_478_00557-LF,UPS RACKMOUT VERSION 3000VA,HZKH,,,Yes,Yes
ASM4022_478_00741-LF,PSU 53V/15A 12TE 6HE,LZKL,,,Yes,Yes
ASM4022_478_00871-LF,19 4 SLOT 2 OUT 1600W 1U RACK,EZKE,,,Yes,Yes
ASM4022_478_00889-LF,UPS 3U RACK MNT 6KVA NETWORK,LZKL,,,Yes,Yes
ASM4022_478_01078-LF,UPS 3PH 9SX 20KVA NET RM 3U,EZKE,,,Yes,Yes
ASM4022_478_01357-LF,SITOP CNX8600 24V 8X2.5A EXP.,HZKH,,,Yes,Yes
ASM4022_478_05002-LF,19 INCH LCD DISPLAY,G0603,Legbord,filled,Yes,Yes
ASM4022_478_05039-LF,KEYBOARD,HZKH,,,Yes,Yes
ASM4022_478_05072-LF,PORTSERVER 16P RS-232/422/485,HZKH,,,Yes,Yes
ASM4022_478_05075-LF,19IN TOUCH SCREEN MONITOR,HZKH,,,Yes,Yes
ASM4022_478_05119-LF,3.5IN MI/O COMPACT SBC N2600,G0602,Legbord,filled,Yes,Yes
ASM4022_478_05153-LF,MAN SW EX3400 48P POE+,HZKH,,,Yes,Yes
ASM4022_478_05155-LF,FIREWALL SRX1500 - JUNIPER,HZKH,,,Yes,Yes
ASM4022_478_05156-LF,MAN SW EX4650 48P SFP28 NO POE,LZKL,,,Yes,Yes
ASM4022_478_05163-LF,NAS 380F RAID-6  5.74TB UNIT,HZKH,,,Yes,Yes
ASM4022_478_05166-LF,NAS 380F CONTROLLER,LZKL,,,Yes,Yes
ASM4022_478_05309-LF,RACK AP4423A IN230V/16AOUT 8X,LZKL,,,Yes,Yes
ASM4022_631_85571-LF,ECAB 126TE CABLE SHIELD TOP,E0405,Legbord,filled,Yes,Yes
ASM4022_634_06481-LF,EXT ESD CLEANROOM PCA PACKAGE2,LZKL,,,Yes,Yes
ASM4022_634_44541-LF,PSDC 630/44R 6HE 32TE,HZKH,,,Yes,Yes
